class,seed,a_star,eps,vis,fr,rank,dropped
3,57,0,0.1,80,0.2,1,0
3,57,0,0.1,80,0.1,5,0
3,57,0,0.1,80,0.05,3,0
3,57,0,0.1,80,0.02,3,0
3,58,1,0.035,50,0.3,2,0
3,58,1,0.035,50,0.2,1,0
3,58,1,0.035,50,0.1,2,0
3,58,1,0.035,50,0.05,1,0
3,58,1,0.035,50,0.02,3,0
3,58,1,0.035,80,0.3,2,0
3,58,1,0.035,80,0.2,2,0
3,58,1,0.035,80,0.1,1,0
3,58,1,0.035,80,0.05,1,0
3,58,1,0.035,80,0.02,1,0
3,58,1,0.07,50,0.3,2,0
3,58,1,0.07,50,0.2,2,0
3,58,1,0.07,50,0.1,3,0
3,58,1,0.07,50,0.05,2,0
3,58,1,0.07,50,0.02,2,0
3,58,1,0.07,80,0.3,1,0
3,58,1,0.07,80,0.2,1,0
3,58,1,0.07,80,0.1,1,0
3,58,1,0.07,80,0.05,1,0
3,58,1,0.07,80,0.02,1,0
3,58,1,0.1,50,0.3,2,0
3,58,1,0.1,50,0.2,2,0
3,58,1,0.1,50,0.1,2,0
3,58,1,0.1,50,0.05,2,0
3,58,1,0.1,50,0.02,2,0
3,58,1,0.1,80,0.3,1,0
3,58,1,0.1,80,0.2,1,0
3,58,1,0.1,80,0.1,1,0
3,58,1,0.1,80,0.05,1,0
3,58,1,0.1,80,0.02,1,0
3,59,1,0.035,50,0.3,2,0
3,59,1,0.035,50,0.2,2,0
3,59,1,0.035,50,0.1,1,0
3,59,1,0.035,50,0.05,4,0
3,59,1,0.035,50,0.02,2,0
3,59,1,0.035,80,0.3,2,0
3,59,1,0.035,80,0.2,1,0
3,59,1,0.035,80,0.1,1,0
3,59,1,0.035,80,0.05,1,0
3,59,1,0.035,80,0.02,1,0
3,59,1,0.07,50,0.3,2,0
3,59,1,0.07,50,0.2,2,0
3,59,1,0.07,50,0.1,1,0
3,59,1,0.07,50,0.05,4,0
3,59,1,0.07,50,0.02,2,0
3,59,1,0.07,80,0.3,2,0
3,59,1,0.07,80,0.2,2,0
3,59,1,0.07,80,0.1,1,0
3,59,1,0.07,80,0.05,2,0
3,59,1,0.07,80,0.02,3,0
3,59,1,0.1,50,0.3,2,0
3,59,1,0.1,50,0.2,2,0
3,59,1,0.1,50,0.1,1,0
3,59,1,0.1,50,0.05,4,0
3,59,1,0.1,50,0.02,2,0
3,59,1,0.1,80,0.3,2,0
3,59,1,0.1,80,0.2,2,0
3,59,1,0.1,80,0.1,1,0
3,59,1,0.1,80,0.05,2,0
3,59,1,0.1,80,0.02,3,0
3,60,1,0.035,50,0.3,1,0
3,60,1,0.035,50,0.2,1,0
3,60,1,0.035,50,0.1,5,0
3,60,1,0.035,50,0.05,5,0
3,60,1,0.035,50,0.02,5,0
3,60,1,0.035,80,0.3,1,0
3,60,1,0.035,80,0.2,1,0
3,60,1,0.035,80,0.1,1,0
3,60,1,0.035,80,0.05,6,0
3,60,1,0.035,80,0.02,5,0
3,60,1,0.07,50,0.3,1,0
